id,title,Discipline 1
50564,"Murray, JW (2003): Oxygen and salinity measured on water bottle samples at station TT007_15-CTD154",Biochemistry
50565,"Nahrgang, J; Camus, L; Broms, F et al. (2010): Physiological and biochemical characteristics of polar cod (Boreogadus saida) from Kongsfjorden",Biochemistry
51555,"Hüning, AK; Melzner, F; Thomsen, J et al. (2013): Impacts of seawater acidification on mantle gene expression patterns of the Baltic Sea blue mussel: implications for shell formation and energy metabolism, link to supplementary material",Biochemistry
51852,"Curry, WB; Duplessy, J-C; Labeyrie, LD et al. (1988): (Appendix 1) Stable carbon and oxygen isotope ratios of Cibicidoides spp. from sediment core RC11-120",Biogeochemistry
52134,"Grebmeier, JM; McRoy, CP (2002): Benthic respiration at Cruise73_122",Biogeochemistry
52137,"Varela, M; Fernández, E (2003): Fractionated chlorophyll-a at station Fruela95_39.1",Biogeochemistry
52205,"Garside, C (2003): Low level nitrate concentrations at station TT053_13-17",Biogeochemistry
52241,"Peltzer, ET (2003): Total organic carbon at station TT049_13-3",Biogeochemistry
52243,"Peltzer, ET (2003): Total organic carbon at station TT049_28-6",Biogeochemistry
52244,"Hansell, DA (2003): Total organic carbon at station TT050_21-3",Biogeochemistry
52245,"Ducklow, HW (2003): Particulate carbon, nitrogen and total organic carbon concentrations at station TT008_5-CTD63",Biogeochemistry
52246,"Wakeham, SG (2003): Lipid and fatty acid concentrations from MULFVS samples at station TT011_12-MULVFS27.1",Biogeochemistry
52250,"Lee, C (2003): Suspended particle chloropigments at station TT011_3-MULVFS18",Biogeochemistry
52257,"Hammond, DE (2003): Oxygen in pore water of sediment core TT013_48",Biogeochemistry
52262,"Barber, R (2003): On deck incubation primary production at station KIWI-7/1-10",Biogeochemistry
52263,"Barber, R (2003): On deck incubation primary production at station NBP97-01-10-2",Biogeochemistry
52264,"Denis, M; LeFevre, J (2004): ETS activity of oxygen at bottle station ANTARES-IV_102",Biogeochemistry
52272,"Nelson, DM (2004): Biogenic silica at niskin bottle station Melville-#3",Biogeochemistry
52273,"Smith, WOJ (2004): Biogenic Silica at niskin bottle station RSBP1995/1996-122395-10",Biogeochemistry
52303,"McCave, IN (2004): Aluminium measured on non-toxic water pump samples DI184_TLS10",Biogeochemistry
52325,"McCave, IN (2004): Aluminium measured on non-toxic water pump samples DI184_TLS35",Biogeochemistry
52326,"Williams, P (2004): Determination of the carbon and nitrogen system at station CD60_2406#U14",Biogeochemistry
52351,"McCave, IN (2004): Nutrients measured on water bottle samples at station DI184_TLS34",Biogeochemistry
52361,"Boyd, P; Savidge, G; Joint, I (2004): Production at station CD60_2606#G01",Biogeochemistry
52376,"Head, R (2004): Nitrate uptake at station CD61_195#1",Biogeochemistry
52457,"Zabel, M (2004): Silicate in porewater of sediment core GeoB1720-3",Biogeochemistry
52461,"Soltwedel, T (2005): Biochemical investigation of multicorer sediment profile PS62/263-1_b",Biogeochemistry
52467,"Weber, ME; Wiedicke-Hombach, M; Riech, V et al. (1995): Calcium carbonate content of sediment core SO79-10KG",Biogeochemistry
52487,"Weber, ME; Wiedicke-Hombach, M; Riech, V et al. (1995): Calcium carbonate content of sediment core SO79-170KG",Biogeochemistry
52491,"Grasshoff, K (1969): Ammonia profile of the water column of site M1_CTD069, Red Sea (Table 14)",Biogeochemistry
52498,"Giannakourou, A; Christaki, U (2008): Ciliate abundance from bottle station APRIL-2000-K3",Biogeochemistry
52604,"Pagou, K; Assimakopoulou, G (2008): Primary production of carbon from three subfractions at bottle station SEPT-1999-K3",Biogeochemistry
52648,"Pagou, K; Assimakopoulou, G (2008): Primary production of carbon from three subfractions at bottle station SEPT-1999-K7",Biogeochemistry
52687,"Krasakopoulou, E; Souvermezoglou, E (2008): Nutrient concentrations in water samples from the Aegean Sea at Station FEBR-1999-IR08",Biogeochemistry
52785,"Krasakopoulou, E; Zeri, C; Kaberi, H (2008): Concentrations of particulate organic carbon in water of the Aegean Sea at Station FEBR-1998-IR56",Biogeochemistry
52789,"Avilova, SD (1983): (Table 1o) Concentrations of urea nitrogen in seawater at Station AK22-1949",Biogeochemistry
52793,"Dekov, VM; Kuptsov, VM (1992): Uranium and thorium isotopes and sedimentation rates in metalliferous sediments from the western flank of the East Pacific Rise at 21°-22°S",Biogeochemistry
52795,"Belyaev, NA; Peresypkin, VI; Ponyaev, MS (2010): Organic carbon in waters, suspended matter, and upper layer bottom sediments of the Kara Sea and Obskay Guba",Biogeochemistry
52799,"Ingels, J; Billett, D; Van Gaever, S et al. (2011): Nematode 13C isotope values from in situ feeding experiments in the Nazare Canyon conducted with sediments from ROV push-core JC10-131-PUC06",Biogeochemistry
52801,"Ingels, J; Billett, D; Van Gaever, S et al. (2011): Nematode 13C isotope values from in situ feeding experiments in the Nazare Canyon conducted with sediments from ROV push-core JC10-95-PUC18",Biogeochemistry
52803,"Chang, AS; Bertram, MA; Ivanochko, TS et al. (2013): Geochemistry and diatom abundances in sediment trap samples of Effingham Inlet, Canada",Biogeochemistry
52807,"Goldhammer, T; Max, T; Brunner, B et al. (2011): Phosphate ?¹?O pore-water profiles of sediment core GeoB11807-2 and GeoB11804-4",Biogeochemistry
52809,"Kuzyk, ZA; Macdonald, RW; Granskog, MA et al. (2008): Water chemistry and heat budget of the Churchill River estuary region",Biogeochemistry
52813,"Baturin, GN; Emelyanov, EM (2012): Chemical composition of bottom sediments from the Baltic Sea",Biogeochemistry
52815,"Heinrich, S; Zonneveld, KAF; Bickert, T et al. (2011): Dinoflagellate cyst counts and age model from sediment samples of ODP Hole 175-1085A",Biogeochemistry
52819,"Nemirovskaya, IA; Artem'ev, VE (2013): Particulate matter and organic compounds in snow, ice, and water of the Lazarev and Cooperation Seas",Biogeochemistry
52823,"Duineveld, GCA; de Wilde, PAWJ; Berghuis, EM et al. (1997): Physical oceaongraphy measured on water bottle sample during TYRO cruise NIOP-C1",Biogeochemistry
52827,"Duineveld, GCA; de Wilde, PAWJ; Berghuis, EM et al. (1997): Physical oceaongraphy measured on water bottle sample during TYRO cruise NIOP-C2",Biogeochemistry
52829,"Duineveld, GCA; de Wilde, PAWJ; Berghuis, EM et al. (1997): Benthic respiration measured in surface sediments during cruise NIOP-A2",Biogeochemistry
52833,"Duineveld, GCA; de Wilde, PAWJ; Berghuis, EM et al. (1997): Benthic respiration and physical oceanography on two contrasting continental margins in the western Indian Ocean: the Yemen-Somali upwelling region and the margin off Kenya",Biogeochemistry
52837,"Himmler, T; Haley, BA; Torres, ME et al. (2013): Geochemical processes and rare earth element analysis in cold-seep pore waters of Hydrate Ridge, northeast Pacific Ocean",Biogeochemistry
52839,"Neven, IA; Stefels, J; van Heuven, S et al. (2011): Chemical composition and phytoplankton characteristics of water samples obtained during POLARSTERN cruise ANT-XXIV/3",Biogeochemistry
52847,"Pu?ko, M; Stern, GA; Barber, DG et al. (2010): (Table 5) Ice bulk salinity, and alpha- and gamma-Hexachlorocyclohexane concentrations of old sea-ice samples, eastern Beaufort Sea",Biogeochemistry
52851,"Pu?ko, M; Stern, GA; Barber, DG et al. (2010): Physical properties and hexachlorocyclohexane concentrations of sea-ice, water and ice algae samples, eastern Beaufort Sea",Biogeochemistry
52853,"Gao, K; Ruan, Z; Villafañe, VE et al. (2009): Seawater carbonate chemistry and biological processes during experiments with phytoplankton Emiliania huxleyi (CS369), 2009",Biogeochemistry
52855,"Olischläger, M; Bartsch, I; Gutow, L et al. (2012): Effects of ocean acidification on different life-cycle stages of the kelp Laminaria hyperborea (Phaeophyceae), link to supplementary data",Biogeochemistry
52857,"Jung, C; Voigt, S; Friedrich, O et al. (2013): Benthic and planktic foraminiferal stable isotope records combined with Nd isotope ratios of ODP Hole 198-1210B",Biogeochemistry
52859,"Boetius, A; Wenzhöfer, F (2013): (Table 1) Diffusive methane effluxes and AOM turnover rates at C-9",Biogeochemistry
52861,"Hill, TM; LaVigne, M; Spero, HJ et al. (2012): Age determination and geochemistry of corals from the North Pacific",Biogeochemistry
52867,"Kasten, S; Nöthen, K; Hensen, C et al. (2012): (Figure 4a) Methane pore-water concentrations of sediment core GeoB6520-3, Hydrate Hole",Biogeochemistry
52893,"Kasten, S; Nöthen, K; Hensen, C et al. (2012): ?¹³C-methane pore-water isotopic composition of sediment core GeoB6520-3, Hydrate Hole",Biogeochemistry
52897,"Kasten, S; Nöthen, K; Hensen, C et al. (2012): High-resolution pore-water and solid-phase analyses of sediment cores GeoB6520-3 (Hydrate Hole) and GeoB6521-2 (Worm Hole) of the northern Congo Fan",Biogeochemistry
52901,"Knutz, PC; Sicre, M-A; Ebbesen, H et al. (2014): Age determination and geochemical composition of sediment core DA04-31P",Biogeochemistry
52903,"Kusumaningtyas, MA; Hutahaean, AA; Fischer, HW et al. (2018): Carbon, nitrogen and stable carbon isotopes, and radionuclides in sediment cores from Segara Anakan Lagoon, Berau and Kongsi Island, Indonesia, 2013 and 2016",Biogeochemistry
52909,"Ducklow, HW (2003): Biological data measured on water bottle sampels at station AT_II-119/5_60-8",Biology
52913,"Laidre, KL; Heide-Jørgensen, MP; Logsdon, ML et al. (2010): Chlorophyll a concentration, and proportion of time in the water column obtained by instrumented bowhead whales",Biology
52915,"Davidson, M; Targett, TE; Grecay, PA (2017): Evaluating the effects of diel-cycling hypoxia and pH on growth and survival of juvenile summer flounder Paralichthys dentatus",Biology
52917,"Voelker, AHL; Colman, AS; Olack, G et al. (2015): Oxygen isotopes measured on water bottle samples during POSEIDON cruise POS349",Chemical Oceanography
52919,"Epping, EHG; Helder, W (2002): Water chemistry at RV08_Adria11_BOTTLE",Chemistry
52921,"Epping, EHG; Helder, W (2002): Water chemistry at UR03_Adria6a_TRAP",Chemistry
52925,"Schlüter, M (2003): Geochemistry of porewater in sediment core Sub1_011",Chemistry
52929,"Bordovsky, OK; Sokolova, MN; Smirnov, BA et al. (1974): Composition of organic matter in deep-sea holoturians and host bottom sediments from the Kuril-Kamchatka Trench",Chemistry
52933,"Obzhirov, AI; Astakhov, AS; Astakhova, NV (2000): Chemical and isotopic compositions of authigenic carbonates from the area of the Sakhalin-Deryugin gas anomaly, Sea of Okhotsk",Chemistry
52937,"Lewis, MJ; Tison, J-L; Weissling, BP et al. (2011): Ice and snow measurements during Nathaniel B. Palmer cruise NBP0709 (SIMBA experiment)",Climatology
52941,"Kaiser, S; Griffiths, HJ; Barnes, DKA et al. (2011): Proportion of bryozoa, isopoda and ostracoda, and bryozoan species richness on the Antarctic continental shelf, slope and abyss",Ecology
52947,"Kirchman, DL; Hill, V; Cottrell, MT et al. (2009): Average nutrient concentration, and growth characteristics of bacteria during USCGC Healy cruises in 2002 and 2004",Ecology
52949,"Kopalová, K; Veselá, J; Elster, J et al. (2012): Benthic freshwater diatom abundance in streams and seepage areas of northern James Ross Island between 2004-2009",Ecology
52951,"Laidre, KL; Heide-Jørgensen, MP (2011): Sea ice habitat characteristics and number of narwhal (Monodon monoceros) sightings in Disko Bay, West Greenland",Ecology
52953,"Bode, A; Alvarez-Ossorio, MT; Cunha, ME et al. (2013): Stable nitrogen and carbon isotopes of plankton samples and selected copoepods around the Iberan Peninsula 2001-2004",Ecology
52983,"Leu, E; Wiktor, JM; Søreide, JE et al. (2010): Fatty acid composition, element concentration and isotope ratios of sea ice algae sampled in Rijpfjorden, Svalbard",Ecology
52985,"Matley, JK; Fisk, AT; Dick, TA (2012): Seabird density and predation on Arctic cod (Boreogadus saida) in Allen Bay in 2010",Ecology
52987,"Pettit, LR; Hart, MB; Medina-Sánchez, AN et al. (2013): Benthic foraminiferal assemblage counts from the Gulf of California",Ecology
52989,"Leonova, GA; Bobrov, VA; Bogush, AA et al. (2013): (Table 1a) Ash content in deep water zooplankton samples from the White Sea",Ecology
53372,"Leonova, GA; Bobrov, VA; Bogush, AA et al. (2013): (Table 1b) Ash contents in seston samples from the Onezhskii Bay of the White Sea",Ecology
53539,"Leonova, GA; Bobrov, VA; Bogush, AA et al. (2013): Zooplankton and seston in the White Sea and its chemical composition",Ecology
54413,"Il'yash, LV; Radchenko, IG; Novigatsky, AN et al. (2013): Phytoplankton fluxes and biomass in the White Sea in 2007 and 2008",Ecology
54473,"Moran, SB; Lomas, MW; Kelly, RP et al. (2012): Net primary productivity, POC export, Th234 and U238 activities and abundance of autotrophs during U.S.C.G.C. Healy cruises HLY0802 and HLY0803",Ecology
55098,"Møller, EF; Borg, CMA; Jónasdóttir, SH et al. (2011): Copepod abundance and fecal pellet production, sinking rate, and degradation in samples obtained during Leg 7 of Galathea 3 cruise 2006",Ecology
55151,"Wienberg, C; Hebbeln, D; Fink, HG et al. (2009): (Table3b) Overview of 230Th/U dates determined on skeletons of the scleractinian cold-water coral species Madrepora oculata collected from sediment core GeoB9031-1",Ecology
55152,"Wienberg, C; Hebbeln, D; Fink, HG et al. (2009): AMS 14C and 230Th/U dates determined on 24 coral species from the Gulf of Cádiz",Ecology
55337,"Olguín, HF; Alder, VA (2011): Abiotic characteristics and diatom abundance and biomass in different sectors of the Argentinien Shelf and antartic waters",Ecology
55345,"Sukhanova, IN; Flint, MV; Sergeeva, VM (2012): Phytoplankton in the surface desalted lens of the Kara Sea",Ecology
55363,"Petursdottir, H; Falk-Petersen, S; Hop, H et al. (2010): Water chemistry, and isotopic ratios and fatty acids and alcohols in Calanus finmarchicus CV, norther Mid-Atlantic Ridge",Ecology
55391,"Flöthe, CR; Molis, M (2013): Consumption rates of the periwinkle Littorina obtusata on the brown seaweed Ascophyllum nodosum",Ecology
55481,"Bode, M; Schukat, A; Hagen, W et al. (2013): Respiration rates and electron transport system activities of copepod species obtained during Maria S. Merian cruise MSM17/3",Ecology
55528,"Fink, HG; Wienberg, C; De Pol-Holz, R et al. (2013): Radiocarbon dating on cold-water corals and planktonic foraminifera, grain size analysis, stable oxygen isotopes, and XRF data of sediment cores from the Alboran Sea",Ecology
55571,"Clayton, S; Nagai, T; Follows, MJ (2014): Hydrochemistry, phytoplankton pigment concentration and phytoplankton abundance in water samples obtained in the Kuroshio Extension Front in October 2009",Ecology
55957,"Hansen, PJ; Lundholm, N; Rost, B (2007): Seawater carbonate chemistry, cell numbers and growth rate during experiments with dinoflagellates, 2007",Ecology
56248,"Hassenrück, C; Jantzen, C; Försterra, G et al. (2013): Growth rates and skeletal density of the scleractinian cold-water coral Desmophyllum dianthus at Isla Liliguapi (Fjord Comau, southern Chile)",Ecology
56369,"Hauss, H; Franz, J; Hansen, T et al. (2012): Zooplankton data of M83/1",Ecology
57044,"Olischläger, M; Bartsch, I; Gutow, L et al. (2013): Effects of ocean acidification on growth and physiology of Ulva lactuca (Chlorophyta) in a rockpool-scenario, link to supplementary data",Ecology
57300,"Schukat, A; Teuber, L; Hagen, W et al. (2013): Respiration rates and abundances of dominant copepods of the northern Benguela Current System",Ecology
57897,"Wendling, CC; Wegner, KM (2014): Experiment: summer mortality phenomena in pacific oysters",Ecology
57914,"Matishov, GG; Makarevich, PR; Timofeev, SF et al. (2000): Water transparency measurements during Robert Conrad cruise 90462180",Ecology
58227,"Matishov, GG; Makarevich, PR; Timofeev, SF et al. (2000): Water transparency measurements during Robert Conrad cruise 90462380",Ecology
58231,"Matishov, GG; Makarevich, PR; Timofeev, SF et al. (2000): Water transparency measurements during Dalniye Zelentsy cruise 90BY84C0",Ecology
58237,"Matishov, GG; Makarevich, PR; Timofeev, SF et al. (2000): Water transparency measurements during Dalniye Zelentsy cruise 90BY8660",Ecology
58398,"Matishov, GG; Makarevich, PR; Timofeev, SF et al. (2000): Water transparency measurements during DIANA cruise 90DI5350",Ecology
58636,"Matishov, GG; Makarevich, PR; Timofeev, SF et al. (2000): Water transparency measurements during DIANA cruise 90DI53B0",Ecology
58640,"Matishov, GG; Makarevich, PR; Timofeev, SF et al. (2000): Water transparency measurements during Professor Deryugin cruise 90PD5610",Ecology
58803,"Matishov, GG; Makarevich, PR; Timofeev, SF et al. (2000): Water transparency measurements during Professor Deryugin cruise 90PD5660",Ecology
58829,"Degen, R; Vedenin, A; Gusky, M et al. (2014): Macrobenthic abundance, biomass, productivity and production in the deep Arctic ocean",Ecology
58831,"Zorrilla-Pujana, J; Rossi, S (2014): Interview forms for integrating education for conservation in marine protected areas management in Colombia",Ecology
58833,"de Matos, VKF; Gomes-Pereira, JN; Tempera, F et al. (2014): First record of Antipathella subpinnata in the Azores",Ecology
58852,"Chapman, MR (2010): Seasonal production patterns of planktonic foraminifera in the NE Atlantic Ocean",Ecology
58970,"Yildiz, G; Hofmann, LC; Bischof, K et al. (2014): Experiment: Ultraviolet radiation modulates the physiological responses of the calcified rhodophyte Corallina officinalis to elevated CO2",Ecology
59099,"Mielck, F; Bartsch, I; Hass, HC et al. (2014): Single beam survey data and links to sea-bottom video files off Helgoland",Ecology
59101,"Lebrato, M; Mendes, PA; Steinberg, DK et al. (2013): Jelly biomass sinking speed reveals a fast carbon export mechanism",Ecology
59104,"Miller, KG; Janecek, TR; Katz, ME et al. (1987): (Table 1b) Age model of DSDP Hole 73-524",Marine Geology
59105,"Linsley, BK; Thunell, RC (1990): Age model of ODP Hole 124-769A",Marine Geology
59106,"Boetius, A; Damm, E (2003): Adenylates of sediment core PS2468-1",Marine Geology
59107,"Kuhlmann, H; Freudenthal, T; Helmke, P et al. (2004): Age model of sediment core GeoB4218-1",Marine Geology
59108,"Gurvich, EG; Isaeva, AB; Dyomina, LV et al. (2003): Chemical composition of bottom sediments at the station DM49-4385-A",Marine Geology
59115,"Sarnthein, M (2004): Composite depth of sediment core GIK13289-2",Marine Geology
59116,"Schneider, RR (2004): Biogenic silica opal of sediment core GeoB1001-2",Marine Geology
59117,"Woodruff, F; Savin, SM (1991): Age model of DSDP Hole 24-237",Marine Geology
59118,"Haase, GM (1986): Sedimentology on cores off Filchner Shelf Ice, Weddell Sea, Antarctica",Marine Geology
59119,"Darby, DA (2009): Drift distances, times and primary grain sources of the Arctic Ocean, Exp302 (ACEX)",Marine Geology
59120,"Boetius, A; Lichtschlag, A; Felden, J (2009): Mud volcanism related investigations of sediment core VKGD276/PC-1",Marine Geology
59121,"Andrews, JT; Vogt, C (2014): Results of bulk sediment X-ray diffraction analysis and quantification of mineral phases based on the RockJock and on the QUAX quantitative analysis",Marine Geology
59122,"Mekik, F; Francois, R; Soon, M (2007): Mg/Ca of planktonic foraminifera from tropical Pacific surface sediments",Marine Geology
59123,"Sahling, H; Bohrmann, G (2016): Seafloor images of ROV profile GeoB19317-1, dive351",Marine Geology
59124,"de Vernal, A; Pedersen, TF (1997): Age determination of sediment core from the Gulf of Alaska",Marine Geology
59125,"Abrantes, FF; Gaspar, L; Helmers, E et al. (2018): Age model of sediment core POS200/10_6-2 collected at Portuguese Margin, North Atlantic",Marine Geology
59126,"Wasmund, N (1998): Phytoplankton measured on water bottle samples",Microbiology
59127,"Boyd, PW (2002): Chlorophyll a and primary production 14C at station P20 (Feb 1997)",Microbiology
59128,"Boetius, A; Damm, E (2003): Phospholipids of sediment core PS2477-1",Microbiology
59129,"Varela, M; Fernández, E (2003): Fractionated chlorophyll-a at station Fruela96_195",Microbiology
59637,"Ducklow, HW (2003): Bacteria abundance, thymidine incorporation of station EN198_5-10",Microbiology
59639,"Repeta, D (2003): Pigment concentrations measured on water bottle samples at station AT_II-119/5_60-9",Microbiology
59640,"Azam, F; Smith, D (2003): Bacteria abundance and thymidine/leucine incorporation at station TT043_7-28",Microbiology
59642,"Landry, MR; Campbell, L (2003): Microzooplankton grazing/phytoplankton growth at station TT050_19-8",Microbiology
59648,"Landry, MR; Campbell, L (2003): Microzooplankton grazing/phytoplankton growth at station TT054_26-4",Microbiology
59654,"Garrison, D; Gowing, MM (2003): Microzooplankton abundance and biomass at station TT050_19-3",Microbiology
59657,"Caron, D (2003): Nanoplankton abundance and biovolume at station TT043_7-28",Microbiology
59658,"Olson, R (2003): Picophytoplankton cell counts at station TT053_22-7",Microbiology
59659,"Campbell, L (2003): Picoplankton population estimates at station TT043_13-18",Microbiology
59666,"Marra, J (2003): Photosynthetically available radiation at station TT050_7-5",Microbiology
59669,"Bender, ML; Dickson, ML (2003): In situ gross/net oxygen production rates at station TT049_22-3",Microbiology
59672,"Bender, ML; Dickson, ML (2003): Net oxygen production on-deck as measured from on-deck incubators at station TT049_27-5",Microbiology
59705,"Ducklow, HW (2003): Bacterial abundance, thymidine and leucine incorporation at station TT008_5-TM30",Microbiology
59725,"Sieracki, M (2003): Cyanobacteria, phototrophic and heterotrophic pico-nanoplankton at station TT007_7-CTD82",Microbiology
59727,"Verity, P (2003): Abundance, biovolume and biomass of heterotrophic dinoflagellates at station TT011_6-CTD68",Microbiology
59730,"Landry, MR (2003): Phytoplankton growth and microzooplankton herbivory at station TT007_11-TM2",Microbiology
59734,"Stoecker, DK (2003): Microplankton counts and carbon biomass at station TT007_9-CTD108",Microbiology
59740,"Bidigare, RR (2003): Phycoerythrin pigment concentrations at station TT007_3-CTD33",Microbiology
59746,"Smith, WOJ (2003): Chlorophyll a concentration at station KIWI-7/1-10",Microbiology
59753,"Smith, WOJ (2003): Chlorophyll a concentration at station KIWI-7/4-8",Microbiology
59899,"Smith, WOJ (2003): Chlorophyll a and phaeopigment concentrations at station NBP96-04A-13-3",Microbiology
61505,"Smith, WOJ (2003): Chlorophyll a and phaeopigment concentrations at station NBP97-08-05-9",Microbiology
61822,"Smith, WOJ (2003): Chlorophyll a and phaeopigment concentrations at station NBP97-08-08-5",Microbiology
62174,"Gardner, W; Richardson, MJ (2003): Particulate matter concentration from filtered niskin bottles at station NBP97-01-23-1",Microbiology
62175,"Caron, D; Lonsdale, D (2003): Nanoplankton abundance and biomass at station NBP97-03-16-1",Microbiology
62176,"Olson, R; Sosik, H (2003): Picoplankton abundance and biomass at station NBP97-01-08-20",Microbiology
62177,"Bender, ML; Dickson, ML (2003): Gross and net oxygen production rates at station KIWI-7/4-25",Microbiology
62178,"Barber, R (2003): Chlorophyll a at station NBP97-01-13-4",Microbiology
62179,"Barber, R (2003): Primary production at station NBP97-01-09-1",Microbiology
62180,"Barber, R (2003): On deck incubation primary production at station KIWI-7/4-25",Microbiology
62181,"Barber, R (2003): On deck incubation primary production at station KIWI-9/13-23",Microbiology
62200,"Barlow, RG (2004): Pigment concentrations at bottle station A7/45",Microbiology
62201,"Burkill, P (2004): Biomass and abundance of microzooplankton and nanoflagellates at bottle station A3/26",Microbiology
62202,"Burkill, P (2004): Biomass and abundance of microzooplankton and nanoflagellates at bottle station A8/5",Microbiology
62203,"Talbot, V; Giuliano, L; Bruni, V et al. (1997): Bacteria biomass and production at station Antares-II_A11",Microbiology
62204,"Fiala, M (2004): Chlorophyll a in different size fractions at station ANTARES-II_A15",Microbiology
62205,"Becquevort, S (1997): Nano- and microprotozoa biomass and ingestion rates at station ANTARES-II_A08",Microbiology
62206,"Caubert, T (2004): Primary production measured with 32Si uptake method at station ANTARES-III_A18",Microbiology
62207,"Mayzaud, P; Razouls, S (2004): Biomass of zooplankton at station ANTARES-III_A14",Microbiology
